!_!	1
%7<	-1
'-)	1
':-/	-1
(*8	1
(:	1
(;_;)	-1
(>_<)	-1
(@_@)	-1
(^_^)	1
(l)	1
(n)	-1
(；ꏿ︿ꏿ)	-1
)-:	-1
)8^(	-2
*-*	-1
,':(	-1
-_-*	-1
-_-+	-2
.-)	1
.^_^.	2
8:::(	-1
8D	1
8^)	1
8|___)	2
:!	-2
:"-(	-1
:'-C	-1
:'D	1
:(	-1
:((	-1
:(((	-1
:((((	-1
:(((((	-1
:((((((	-1
:(((((((	-1
:((	-1
:)	1
:))	1
:)))	1
:))))	1
:)))))	1
:))))))	1
:)))))))	1
:))	1
:)))	2
:*(	-1
:-(	-1
:-((	-2
:-)	1
:-))	2
:-/	-1
:->	1
:-@	-2
:-D	2
:-O	1
:-P	-1
:-S	-1
:-V	-2
:-t	-2
:-||	-2
:-}	1
:..[	-1
:/	-1
://	-1
:<	-1
:@	-2
:A	1
:D	2
:U	-2
:^J	1
:_(	-1
:c	-1
:c)	1
:d	1
:o)	1
:o{	-1
:s	-1
:u)	1
:|	-1
:|)	1
:§	-1
:¬)	1
;-;	-1
;-D	1
;-\	-1
;_;	-1
<3	1
<:-(	-1
<:-)	1
<u3	1
='(	-1
=(	-1
=)	1
=):-)	1
=/	-2
=:-(	-1
=D	2
=[	-1
=\	-1
=]	1
=^)	1
=o)	1
>,<	-2
>.-)	1
>.<*	-1
>:(	-2
>:*	-1
>:-(	-2
>:-)	-2
>:-<	-1
>:->	1
>:-I	-1
>=(	-2
>=P	-1
>=[	-2
>_<*	-1
>}:-(	-2
?-(	-1
@_@	-1
B/	-1
C:	1
D:	-1
D:<	-1
D<	-2
D=	-1
DX	-1
L-:	1
P-(	-1
P-)	1
QQ	-1
S2	1
T.T	-1
TT.TT	-1
TT^TT	-1
TT_TT	-1
T^T	-1
T_T	-1
X(	-2
X-(	-2
X:-)	1
X:-/	-1
XD	1
X[	-1
Y_Y	-1
\8^1	-1
\\)	1
\m/<(^_^)>\m/	2
^&^	1
^-^	1
^.^	1
^^	1
^_^	2
^w^	1
^¿^	1
`:-)	1
v.v	-1
}:(	-1
}:-(	-1
}:->	1
~:(	-2
~:-(	-1
~~:-(	-1
~♥~	1
¦-D	1
¬¬	-1
♥	1
٩( ŏдŏ)۶	-1
٩(-̃_̮̮̃-̃)۶	-1
٩(-̮̮̃ -̃)۶	-1
٩(^‿^)۶	1
٩(´▽`)۶	1
٩(×̯×)۶	-1
٩(̃-̮̮̃-)۶	-1
٩(̾♥o♥)۶	1
٩(ˆ▼ˆ)۶	1
٩(◕‿◕)۶	1
٩(●ˆ▿ˆ●)	1
٩(͡๏̯͡๏)۶	-1
٩(๑❛ᴗ❛๑)۶	1
٩(̾●̮̮̃̾•̃̾)	-1
٩(̾●̮̮̃̾•̃̾)۶	-1
ε=٩(๑≧ᴗ≦๑)۶=3	-1
